종목코드,현재가
417310,2385.0
0008T0,17630.0
002200,2830.0
433970,13935.0
308620,11395.0
014790,2495.0
473440,10855.0
195980,15375.0
007210,1442.0
363280,2065.0
036580,2555.0
454320,43590.0
032560,5500.0
0035T0,19270.0
014440,4660.0
0066W0,12870.0
070960,1916.0
261270,8095.0
580039,183160.0
298770,82940.0
001290,4205.0
0052T0,50700.0
001275,30250.0
325020,29235.0
143850,77105.0
486240,29200.0
211900,27800.0
019180,5010.0
468380,10865.0
269540,29990.0
444490,20170.0
453080,23000.0
006840,6750.0
33626K,6690.0
479620,25840.0
007610,4945.0
610064,55130.0
0007N0,109935.0
023000,2210.0
058850,2115.0
058860,2515.0
329670,21830.0
204480,23440.0
000850,39550.0
025620,4775.0
495040,31865.0
460960,10940.0
004140,1775.0
004890,34850.0
096775,67400.0
329660,17750.0
453330,18120.0
006090,8820.0
485690,22415.0
461460,50955.0
002600,137700.0
011700,2545.0
139990,2120.0
359210,35660.0
109070,1550.0
0017Y0,93760.0
500096,16255.0
007980,1723.0
111380,13100.0
0018C0,10520.0
449770,21030.0
337140,36305.0
475310,27035.0
0057H0,11680.0
023800,5020.0
002220,2965.0
550093,39560.0
0049M0,11200.0
490480,29160.0
495750,32045.0
108450,39120.0
469060,34770.0
0098N0,12920.0
000590,67700.0
