종목코드,현재가,거래대금,시가,고가,저가,거래량,NXT거래대금
156100,5740.0,1596000000.0,5610.0,5980.0,5610.0,273912.0,
038290,11830.0,153000000.0,11990.0,12010.0,11780.0,12921.0,
142210,6180.0,888000000.0,6200.0,6300.0,6090.0,142969.0,
290740,12740.0,594000000.0,13270.0,13510.0,12520.0,46377.0,
037070,6380.0,230000000.0,6350.0,6410.0,6300.0,36292.0,
417010,6320.0,983000000.0,6560.0,6750.0,6300.0,150531.0,
080420,1591.0,1000000.0,1595.0,1595.0,1561.0,703.0,
079960,16790.0,697000000.0,16900.0,17100.0,16640.0,41399.0,
105330,7890.0,220000000.0,8030.0,8300.0,7820.0,27444.0,
418420,4100.0,1666000000.0,4210.0,4630.0,4040.0,384304.0,
021320,5880.0,49000000.0,6030.0,6120.0,5850.0,8235.0,
060150,2760.0,228000000.0,2830.0,2830.0,2735.0,82628.0,
036690,2885.0,0.0,0.0,0.0,0.0,0.0,
153890,10420.0,3122000000.0,10220.0,10930.0,10220.0,295153.0,
474170,7030.0,317000000.0,7080.0,7300.0,7000.0,44568.0,
027710,1123.0,152000000.0,1130.0,1130.0,1113.0,135385.0,
361390,12840.0,196000000.0,12840.0,13190.0,12700.0,15175.0,
267320,2175.0,399000000.0,2230.0,2245.0,2160.0,181785.0,
408920,2880.0,24000000.0,2915.0,2915.0,2855.0,8481.0,
095700,2725.0,1185000000.0,2975.0,2990.0,2680.0,429918.0,
297090,4550.0,481000000.0,4565.0,4625.0,4500.0,105664.0,
220260,3860.0,266000000.0,4025.0,4025.0,3750.0,68239.0,
307750,2290.0,149000000.0,2330.0,2330.0,2270.0,64816.0,
322510,4800.0,328000000.0,4900.0,4915.0,4720.0,68218.0,
255220,1125.0,1515000000.0,1102.0,1152.0,1102.0,1343104.0,
338840,8000.0,287000000.0,8200.0,8410.0,7970.0,35772.0,200220999.99999997
056090,1190.0,0.0,0.0,0.0,0.0,0.0,
396300,4625.0,12823000000.0,4650.0,5090.0,4585.0,2652315.0,
108230,3220.0,555000000.0,3290.0,3330.0,3200.0,170080.0,
331920,10930.0,137000000.0,11150.0,11150.0,10740.0,12640.0,
052860,6840.0,249000000.0,6990.0,7080.0,6840.0,35774.0,
494120,8000.0,455000000.0,7960.0,8270.0,7800.0,57230.0,149260000.0
321370,1727.0,20354000000.0,1705.0,1875.0,1671.0,11493256.0,
402490,7200.0,1716000000.0,7610.0,7620.0,7110.0,232220.0,
201490,3725.0,14595000000.0,4080.0,4080.0,3710.0,3773676.0,
041440,6800.0,344000000.0,6750.0,6870.0,6720.0,50594.0,
095190,1846.0,74000000.0,1834.0,1863.0,1834.0,39982.0,
