종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시장
동화기업,025900,8940,,-3.56,127790,1142442600.0,KOSDAQ
펌텍코리아,251970,36250,,-3.46,35992,1304710000.0,KOSDAQ
에스티아이,039440,28700,,-1.88,113328,3252513600.0,KOSDAQ
네오티스,085910,31600,,0.0,187599,5928128400.0,KOSDAQ
프로티나,468530,39600,,-7.37,103073,4081690800.0,KOSDAQ
툴젠,199800,48100,,-21.28,186186,8955546600.0,KOSDAQ
유티아이,179900,21850,,-3.96,120251,2627484350.0,KOSDAQ
펨트론,168360,19910,,-0.95,116301,2315552910.0,KOSDAQ
감성코퍼레이션,036620,4775,,-2.95,876823,4186829825.0,KOSDAQ
오이솔루션,138080,34750,,0.0,494466,17182693500.0,KOSDAQ
오픈엣지테크놀로지,394280,16180,,-1.16,173374,2805191320.0,KOSDAQ
가비아,079940,31650,,2.1,17280,546912000.0,KOSDAQ
에치에프알,230240,31850,,8.33,517106,16469826100.0,KOSDAQ
월덱스,101160,25650,,-1.91,128636,3299513400.0,KOSDAQ
우주일렉트로,065680,45550,,-4.31,71575,3260241250.0,KOSDAQ
하이록코리아,013030,35650,,-4.3,44813,1597583450.0,KOSDAQ
네오위즈,095660,19330,,-2.42,79995,1546303350.0,KOSDAQ
메가스터디교육,215200,40250,,0.37,43016,1731394000.0,KOSDAQ
한스바이오메드,042520,29100,,-11.55,453570,13198887000.0,KOSDAQ
아모텍,052710,28400,,-5.96,1533053,43538705200.0,KOSDAQ
티로보틱스,117730,18290,,-5.48,282175,5160980750.0,KOSDAQ
인투셀,287840,27150,,-7.81,165632,4496908800.0,KOSDAQ
신라젠,215600,2930,,-3.46,800597,2345749210.0,KOSDAQ
한텍,098070,36400,,6.43,217865,7930286000.0,KOSDAQ
엘티씨,170920,38250,,-2.55,192100,7347825000.0,KOSDAQ
디아이티,110990,21300,,-6.17,177997,3791336100.0,KOSDAQ
HLB생명과학,067630,3280,,-2.67,380886,1249306080.0,KOSDAQ
저스템,417840,17560,,-1.9,1370109,24059114040.0,KOSDAQ
엔젤로보틱스,455900,25900,,1.77,109049,2824369100.0,KOSDAQ
국일제지,078130,3495,,-4.25,304383,1063818585.0,KOSDAQ
휴온스글로벌,084110,31050,,-5.19,60420,1876041000.0,KOSDAQ
한솔아이원스,114810,13800,,-3.43,284673,3928487400.0,KOSDAQ
HLB제약,047920,11790,,-5.15,160241,1889241390.0,KOSDAQ
티이엠씨,425040,18000,,-7.64,1822388,32802984000.0,KOSDAQ
비츠로넥스텍,488900,13170,,-5.86,79518,1047252060.0,KOSDAQ
엑시콘,092870,29200,,-2.67,283854,8288536800.0,KOSDAQ
LS증권,078020,6860,,-1.44,95888,657791680.0,KOSDAQ
파인엠텍,441270,9070,,-4.73,362702,3289707140.0,KOSDAQ
오킨스전자,080580,17940,,-2.39,805438,14449557720.0,KOSDAQ
미래반도체,254490,26200,,-6.6,243285,6374067000.0,KOSDAQ
에스바이오메딕스,304360,30300,,-3.19,66760,2022828000.0,KOSDAQ
DSC인베스트먼트,241520,14100,,9.39,11078297,156203987700.0,KOSDAQ
AP시스템,265520,24900,,-0.6,171629,4273562100.0,KOSDAQ
제우스,079370,12050,,-2.67,365305,4401925250.0,KOSDAQ
지엔씨에너지,119850,22700,,-5.81,361817,8213245900.0,KOSDAQ
덕산테코피아,317330,18090,,-7.61,293962,5317772580.0,KOSDAQ
메카로,241770,36300,,-7.75,35821,1300302300.0,KOSDAQ
헥토파이낸셜,234340,26400,,-0.75,289015,7629996000.0,KOSDAQ
켄코아에어로스페이스,274090,26750,,-10.54,1416288,37885704000.0,KOSDAQ
유바이오로직스,206650,10000,,-1.67,191614,1916140000.0,KOSDAQ
뉴파워프라즈마,144960,8400,,-11.21,2470355,20750982000.0,KOSDAQ
페니트리움바이오,187660,6590,,-6.39,1021851,6733998090.0,KOSDAQ
에이팩트,200470,8600,,-6.93,875619,7530323400.0,KOSDAQ
디바이스,187870,25950,,4.01,526913,13673392350.0,KOSDAQ
HEM파마,376270,49500,,-2.17,38877,1924411500.0,KOSDAQ
필에너지,378340,16360,,-3.71,73762,1206746320.0,KOSDAQ
드림시큐리티,203650,3490,,0.14,7650021,26698573290.0,KOSDAQ
휴온스,243070,29400,,-9.82,76479,2248482600.0,KOSDAQ
한라IMS,092460,20550,,-3.97,125383,2576620650.0,KOSDAQ
싸이맥스,160980,32100,,-3.31,161035,5169223500.0,KOSDAQ
파트론,091700,6990,,-0.14,267251,1868084490.0,KOSDAQ
삼양컴텍,484590,8480,,-7.73,253036,2145745280.0,KOSDAQ
에이스침대,003800,31400,,-1.72,6014,188839600.0,KOSDAQ
큐라클,365270,15750,,0.9,374876,5904297000.0,KOSDAQ
사피엔반도체,452430,42000,,-6.67,85920,3608640000.0,KOSDAQ
위메이드맥스,101730,4130,,-2.48,98005,404760650.0,KOSDAQ
삼양엔씨켐,482630,15760,,-7.46,632276,9964669760.0,KOSDAQ
넥스트바이오메디컬,389650,41650,,-5.13,104443,4350050950.0,KOSDAQ
바이오플러스,099430,5560,,-3.81,467119,2597181640.0,KOSDAQ
케이프,064820,11010,,-5.49,270961,2983280610.0,KOSDAQ
퓨쳐켐,220100,15100,,-7.48,135755,2049900500.0,KOSDAQ
우리로,046970,7710,,-4.7,2283807,17608151970.0,KOSDAQ
비츠로테크,042370,12860,,-3.16,439128,5647186080.0,KOSDAQ
타이거일렉,219130,53200,,-11.92,32169,1711390800.0,KOSDAQ
유니셈,036200,10940,,-7.52,590774,6463067560.0,KOSDAQ
칩스앤미디어,094360,15500,,-2.52,108335,1679192500.0,KOSDAQ
지노믹트리,228760,13260,,-3.14,120162,1593348120.0,KOSDAQ
엠로,058970,26550,,7.71,390639,10371465450.0,KOSDAQ
카나프테라퓨틱스,0082N0,24750,,-6.78,139026,3440893500.0,KOSDAQ
상아프론테크,089980,20450,,-5.32,81281,1662196450.0,KOSDAQ
에이직랜드,445090,29900,,3.1,121861,3643643900.0,KOSDAQ
슈어소프트테크,298830,6100,,-2.71,717836,4378799600.0,KOSDAQ
웹젠,069080,10510,,0.1,84116,884059160.0,KOSDAQ
에코아이,448280,10960,,0.0,38207,418748720.0,KOSDAQ
유니테스트,086390,15350,,-7.14,281566,4322038100.0,KOSDAQ
글로벌텍스프리,204620,4615,,-4.05,661152,3051216480.0,KOSDAQ
메디아나,041920,17360,,5.85,192663,3344629680.0,KOSDAQ
인탑스,049070,18770,,-3.35,101896,1912587920.0,KOSDAQ
아스테라시스,450950,8560,,-2.51,56553,484093680.0,KOSDAQ
컴투스,078340,26550,,-2.39,70348,1867739400.0,KOSDAQ
이노스페이스,462350,15380,,0.2,348976,5367250880.0,KOSDAQ
LIG아큐버,073490,42200,,0.72,149683,6316622600.0,KOSDAQ
LB세미콘,061970,5470,,-4.87,621634,3400337980.0,KOSDAQ
진성티이씨,036890,14310,,-2.65,197867,2831476770.0,KOSDAQ
아이엘,307180,8470,,4.57,1172989,9935216830.0,KOSDAQ
삼목에스폼,018310,21200,,0.24,57481,1218597200.0,KOSDAQ
한국정보통신,025770,8320,,-4.81,128307,1067514240.0,KOSDAQ
콜마비앤에이치,200130,10520,,-0.38,64983,683621160.0,KOSDAQ
휴메딕스,200670,27450,,-3.0,42794,1174695300.0,KOSDAQ
씨메스로보틱스,475400,26200,,-5.24,78176,2048211200.0,KOSDAQ
지씨셀,144510,19480,,0.21,37240,725435200.0,KOSDAQ
하림,136480,2890,,-1.2,606450,1752640500.0,KOSDAQ
나무기술,242040,8780,,17.22,16470136,144607794080.0,KOSDAQ
이지홀딩스,035810,4700,,-2.79,332913,1564691100.0,KOSDAQ
나라스페이스테크놀로지,478340,26050,,-2.98,170522,4442098100.0,KOSDAQ
코스텍시스,355150,38350,,-7.37,454183,17417918050.0,KOSDAQ
HB테크놀러지,078150,3220,,-5.71,4121459,13271097980.0,KOSDAQ
셀바스AI,108860,11090,,8.3,921599,10220532910.0,KOSDAQ
바이오다인,314930,10000,,-4.58,85540,855400000.0,KOSDAQ
슈프리마,236200,42650,,0.0,46107,1966463550.0,KOSDAQ
신성에스티,416180,32700,,-3.96,41046,1342204200.0,KOSDAQ
DXVX,180400,3000,,-3.69,176082,528246000.0,KOSDAQ
GRT,900290,3600,,4.8,607891,2188407600.0,KOSDAQ
헬릭스미스,084990,6370,,-15.74,3214533,20476575210.0,KOSDAQ
덕양에너젠,0001A0,11790,,-4.92,238566,2812693140.0,KOSDAQ
바이넥스,053030,8890,,-1.55,132367,1176742630.0,KOSDAQ
강원에너지,114190,11090,,-7.35,196258,2176501220.0,KOSDAQ
리센스메디컬,394420,26300,,-7.07,380871,10016907300.0,KOSDAQ
아이티엠반도체,084850,12670,,-5.73,61862,783791540.0,KOSDAQ
모베이스전자,012860,3910,,0.39,1683772,6583548520.0,KOSDAQ
범한퓨얼셀,382900,32650,,4.31,115275,3763728750.0,KOSDAQ
심텍홀딩스,036710,5410,,-1.1,879821,4759831610.0,KOSDAQ
네오팜,092730,17820,,-2.03,46169,822731580.0,KOSDAQ
나우로보틱스,459510,22000,,-3.3,147214,3238708000.0,KOSDAQ
바텍,043150,19200,,-1.44,21706,416755200.0,KOSDAQ
강스템바이오텍,217730,3020,,-2.11,643019,1941917380.0,KOSDAQ
아스트,067390,683,,0.44,2002338,1367596854.0,KOSDAQ
KH바텍,060720,11960,,-2.21,158056,1890349760.0,KOSDAQ
와이씨켐,112290,13990,,-4.11,558422,7812323780.0,KOSDAQ
쓰리빌리언,394800,8830,,-4.95,145880,1288120400.0,KOSDAQ
상신이디피,091580,21000,,-6.04,179735,3774435000.0,KOSDAQ
대명에너지,389260,15610,,-3.58,88864,1387167040.0,KOSDAQ
컨텍,451760,17440,,-3.91,242103,4222276320.0,KOSDAQ
바이젠셀,308080,13590,,3.11,1031050,14011969500.0,KOSDAQ
오르비텍,046120,8200,,-3.42,764093,6265562600.0,KOSDAQ
셀비온,308430,21500,,-4.66,105053,2258639500.0,KOSDAQ
노바렉스,194700,15170,,-4.23,245807,3728892190.0,KOSDAQ
에프앤가이드,064850,24250,,-3.77,154354,3743084500.0,KOSDAQ
씨앤씨인터내셔널,352480,20300,,-3.56,27368,555570400.0,KOSDAQ
신흥에스이씨,243840,7170,,-7.0,470331,3372273270.0,KOSDAQ
KG이니시스,035600,10000,,-0.5,77478,774780000.0,KOSDAQ
오리엔탈정공,014940,6020,,-3.37,164151,988189020.0,KOSDAQ
토비스,051360,18380,,-0.76,55780,1025236400.0,KOSDAQ
자람테크놀로지,389020,39700,,0.51,68652,2725484400.0,KOSDAQ
지놈앤컴퍼니,314130,6120,,8.7,768731,4704633720.0,KOSDAQ
